,home_team_name,away_team_name,home_team_xG,away_team_xG,date
0,Newcastle United,Brighton & Hove Albion,0.52,1.78,2020-09-20 08:00:00
1,Brighton & Hove Albion,Manchester United,2.55,1.55,2020-09-26 06:30:00
2,Crystal Palace,Brighton & Hove Albion,0.79,1.75,2020-10-18 08:00:00
3,Brighton & Hove Albion,West Bromwich Albion,0.5,0.35,2020-10-26 11:30:00
4,Brighton & Hove Albion,Chelsea,1.05,1.22,2020-09-14 14:15:00
5,Brighton & Hove Albion,Burnley,1.47,0.46,2020-11-06 11:30:00
6,Tottenham Hotspur,Brighton & Hove Albion,1.75,0.3,2020-11-01 13:15:00
7,Brighton & Hove Albion,Southampton,1.94,1.41,2020-12-07 14:00:00
8,Aston Villa,Brighton & Hove Albion,1.7,1.43,2020-11-21 09:00:00
9,Brighton & Hove Albion,Liverpool,2.28,0.24,2020-11-28 06:30:00
10,Everton,Brighton & Hove Albion,1.6,1.35,2020-10-03 09:00:00
11,Leicester City,Brighton & Hove Albion,1.56,0.89,2020-12-13 13:15:00
12,Brighton & Hove Albion,Sheffield United,2.88,0.54,2020-12-20 06:00:00
13,West Ham United,Brighton & Hove Albion,1.29,1.16,2020-12-27 08:15:00
14,Fulham,Brighton & Hove Albion,0.98,0.48,2020-12-16 14:00:00
15,Manchester City,Brighton & Hove Albion,2.01,0.19,2021-01-13 12:00:00
16,Brighton & Hove Albion,Arsenal,0.89,1.11,2020-12-29 12:00:00
17,Leeds United,Brighton & Hove Albion,0.3,1.37,2021-01-16 09:00:00
18,Brighton & Hove Albion,Wolverhampton Wanderers,2.2,1.57,2021-01-02 11:30:00
19,Brighton & Hove Albion,Tottenham Hotspur,1.61,0.38,2021-01-31 13:15:00
20,Brighton & Hove Albion,Fulham,1.99,0.49,2021-01-27 13:30:00
21,Liverpool,Brighton & Hove Albion,0.99,1.29,2021-02-03 14:15:00
22,Brighton & Hove Albion,Crystal Palace,2.51,0.23,2021-02-22 14:00:00
23,Burnley,Brighton & Hove Albion,1.82,0.52,2021-02-06 09:00:00
24,Brighton & Hove Albion,Aston Villa,2.23,0.14,2021-02-13 14:00:00
25,Brighton & Hove Albion,Leicester City,0.79,0.87,2021-03-06 14:00:00
26,Southampton,Brighton & Hove Albion,0.57,0.78,2021-03-14 06:00:00
27,Brighton & Hove Albion,Newcastle United,0.91,0.1,2021-03-20 14:00:00
28,Brighton & Hove Albion,Everton,1.18,0.39,2021-04-12 14:15:00
29,Chelsea,Brighton & Hove Albion,0.72,0.47,2021-04-20 14:15:00
30,Manchester United,Brighton & Hove Albion,1.48,1.17,2021-04-04 13:30:00
31,Wolverhampton Wanderers,Brighton & Hove Albion,1.12,0.32,2021-05-09 06:00:00
32,West Bromwich Albion,Brighton & Hove Albion,0.8,2.95,2021-02-27 09:00:00
33,Burnley,Brighton & Hove Albion,1.44,1.46,2021-08-14 09:00:00
34,Brighton & Hove Albion,West Ham United,0.84,1.73,2021-05-15 14:00:00
35,Sheffield United,Brighton & Hove Albion,0.74,2.01,2021-04-24 14:00:00
36,Brighton & Hove Albion,Leeds United,2.27,0.62,2021-05-01 09:00:00
37,Arsenal,Brighton & Hove Albion,0.77,0.2,2021-05-23 10:00:00
38,Brighton & Hove Albion,Watford,1.33,1.03,2021-08-21 11:30:00
39,Brighton & Hove Albion,Manchester City,1.14,0.94,2021-05-18 13:00:00
40,Brentford,Brighton & Hove Albion,0.39,0.32,2021-09-11 09:00:00
41,Brighton & Hove Albion,Everton,1.08,1.72,2021-08-28 09:00:00
42,Brighton & Hove Albion,Leicester City,1.73,1.49,2021-09-19 08:00:00
43,Crystal Palace,Brighton & Hove Albion,1.41,0.86,2021-09-27 14:00:00
44,Liverpool,Brighton & Hove Albion,1.47,1.09,2021-10-30 09:00:00
45,Brighton & Hove Albion,Arsenal,1.6,0.61,2021-10-02 11:30:00
46,Brighton & Hove Albion,Manchester City,1.37,4.23,2021-10-23 11:30:00
47,Norwich City,Brighton & Hove Albion,1.62,0.99,2021-10-16 09:00:00
48,West Ham United,Brighton & Hove Albion,1.45,1.43,2021-12-01 13:30:00
49,Aston Villa,Brighton & Hove Albion,0.81,0.48,2021-11-20 09:00:00
50,Brighton & Hove Albion,Leeds United,2.59,0.9,2021-11-27 11:30:00
51,Brighton & Hove Albion,Newcastle United,1.98,0.43,2021-11-06 11:30:00
52,Brighton & Hove Albion,Brentford,1.09,0.98,2021-12-26 14:00:00
53,Southampton,Brighton & Hove Albion,1.7,1.51,2021-12-04 09:00:00
54,Everton,Brighton & Hove Albion,2.03,1.88,2022-01-02 08:00:00
55,Leicester City,Brighton & Hove Albion,1.77,1.47,2022-01-23 08:00:00
56,Brighton & Hove Albion,Wolverhampton Wanderers,1.57,1.31,2021-12-15 13:30:00
57,Brighton & Hove Albion,Crystal Palace,2.22,0.37,2022-01-14 14:00:00
58,Chelsea,Brighton & Hove Albion,1.18,1.38,2021-12-29 13:30:00
59,Brighton & Hove Albion,Chelsea,1.03,0.8,2022-01-18 14:00:00
60,Manchester United,Brighton & Hove Albion,1.87,0.86,2022-02-15 14:15:00
61,Watford,Brighton & Hove Albion,0.61,1.72,2022-02-12 09:00:00
62,Newcastle United,Brighton & Hove Albion,1.73,1.78,2022-03-05 09:00:00
63,Brighton & Hove Albion,Aston Villa,0.89,0.99,2022-02-26 09:30:00
64,Brighton & Hove Albion,Norwich City,3.05,0.41,2022-04-02 08:00:00
65,Tottenham Hotspur,Brighton & Hove Albion,0.46,0.84,2022-04-16 06:30:00
66,Brighton & Hove Albion,Tottenham Hotspur,0.93,2.95,2022-03-16 13:30:00
67,Brighton & Hove Albion,Liverpool,0.59,2.41,2022-03-12 06:30:00
68,Manchester City,Brighton & Hove Albion,1.61,0.24,2022-04-20 14:00:00
69,Brighton & Hove Albion,Southampton,1.75,1.2,2022-04-24 08:00:00
70,Arsenal,Brighton & Hove Albion,1.98,0.77,2022-04-09 09:00:00
71,Brighton & Hove Albion,Manchester United,2.59,1.16,2022-05-07 11:30:00
72,Brighton & Hove Albion,Burnley,0.75,1.0,2022-02-19 09:00:00
73,Leeds United,Brighton & Hove Albion,1.97,2.47,2022-05-15 08:00:00
74,Wolverhampton Wanderers,Brighton & Hove Albion,0.84,2.81,2022-04-30 09:00:00
75,Brighton & Hove Albion,West Ham United,1.95,0.41,2022-05-22 10:00:00
