,team_id,team_name,color2,color1
0,8524,Atalanta,#0071BC,#0D0D41
1,9857,Bologna,#1A2F48,#A21C26
2,8535,Fiorentina,#5526B9,#FAFAFF
3,9876,Hellas Verona,#005395,#FFE74A
4,8636,Inter,#000000,#010e60
5,9885,Juventus,#28262D,#FBFBEF
6,8543,Lazio,#B0D0FF,#DBAB19
7,8564,Milan,#FB090B,#000000
8,9875,Napoli,#12A0D7,#103465
9,8686,Roma,#FEB42F,#731E25
11,9882,Sampdoria,#0079BB,#FFFFFF
12,7943,Sassuolo,#33B65B,#231F20
13,9881,Spezia,#aa9665,#1b181c
14,9804,Torino,#881F19,#ECB215
15,8600,Udinese,#000000,#FFFFFF
16,7881,Venezia,#09611f,#ef7d00